Alert: Arbitrage Bot started!
BTC-USDT: $116640 | Bid: $116639.9 | 
ETH-USDT: $4404.81 | Bid: $4404.8 | Ask: $4404.81
SOL-USDT: $188.05 | Bid: $188.08 | Ask: $188.09
BTC-USDT: $116622.8 | Bid: $116622 | Ask: $116624.1
ETH-USDT: $4402.94 | Bid: $4402.93 | Ask: $4402.94
SOL-USDT: $187.92 | Bid: $187.91 | Ask: $187.92
BTC-USDT: $116657.4 | Bid: $116657.4 | Ask: $116657.5
ETH-USDT: $4405.47 | Bid: $4405.46 | Ask: $4405.63
SOL-USDT: $188 | Bid: $187.99 | Ask: $188
BTC-USDT: $116699.4 | Bid: $116699.4 | Ask: $116699.5
ETH-USDT: $4409.61 | Bid: $4409.1 | Ask: $4409.11
SOL-USDT: $188.13 | Bid: $188.1 | Ask: $188.11
BTC-USDT: $116632 | Bid: $116633.9 | Ask: $116634
ETH-USDT: $4407.21 | Bid: $4407.2 | Ask: $4407.21
SOL-USDT: $187.98 | Bid: $187.97 | Ask: $187.98
BTC-USDT: $116651.9 | Bid: $116651.9 | Ask: $116652
ETH-USDT: $4408.39 | Bid: $4408.39 | Ask: $4408.4
SOL-USDT: $188.01 | Bid: $188 | Ask: $188.01
BTC-USDT: $116621.3 | Bid: $116621.2 | Ask: $116621.3
ETH-USDT: $4406.69 | Bid: $4406.33 | Ask: $4406.69
SOL-USDT: $187.93 | Bid: $187.92 | Ask: $187.93
BTC-USDT: $116568.1 | Bid: $116567.5 | Ask: $116568.1
ETH-USDT: $4403.41 | Bid: $4403.17 | Ask: $4403.67
SOL-USDT: $187.89 | Bid: $187.88 | Ask: $187.89
BTC-USDT: $116551 | Bid: $116550.9 | Ask: $116551
ETH-USDT: $4402.21 | Bid: $4401.8 | Ask: $4402.22
SOL-USDT: $187.78 | Bid: $187.79 | Ask: $187.8
BTC-USDT: $116530.4 | Bid: $116530.3 | Ask: $116530.4
ETH-USDT: $4400.02 | Bid: $4400.36 | Ask: $4400.37
SOL-USDT: $187.76 | Bid: $187.79 | Ask: $187.8
BTC-USDT: $116520 | Bid: $116519.9 | Ask: $116520
ETH-USDT: $4402.2 | Bid: $4402.14 | Ask: $4402.15
SOL-USDT: $187.82 | Bid: $187.81 | Ask: $187.83
BTC-USDT: $116519.7 | Bid: $116519.7 | Ask: $116519.8
ETH-USDT: $4400.31 | Bid: $4400.2 | Ask: $4400.21
SOL-USDT: $187.79 | Bid: $187.79 | Ask: $187.8
BTC-USDT: $116548 | Bid: $116547.9 | Ask: $116548
ETH-USDT: $4402.7 | Bid: $4402.4 | Ask: $4402.41
SOL-USDT: $187.9 | Bid: $187.88 | Ask: $187.89
BTC-USDT: $116554.1 | Bid: $116555.9 | Ask: $116556
ETH-USDT: $4401.61 | Bid: $4401.6 | Ask: $4401.8
SOL-USDT: $187.85 | Bid: $187.85 | Ask: $187.86
BTC-USDT: $116548 | Bid: $116547.9 | Ask: $116548
ETH-USDT: $4400.82 | Bid: $4400.81 | Ask: $4400.82
SOL-USDT: $187.72 | Bid: $187.71 | Ask: $187.72
BTC-USDT: $116522.1 | Bid: $116522 | Ask: $116522.1
ETH-USDT: $4398.8 | Bid: $4398.79 | Ask: $4398.8
SOL-USDT: $187.69 | Bid: $187.68 | Ask: $187.71
BTC-USDT: $116533.2 | Bid: $116533.1 | Ask: $116533.2
ETH-USDT: $4399.32 | Bid: $4399.29 | Ask: $4399.33
SOL-USDT: $187.76 | Bid: $187.74 | Ask: $187.77
BTC-USDT: $116520.1 | Bid: $116520 | Ask: $116520.1
ETH-USDT: $4398.7 | Bid: $4398.44 | Ask: $4398.45
SOL-USDT: $187.73 | Bid: $187.72 | Ask: $187.73
BTC-USDT: $116543.9 | Bid: $116543.9 | Ask: $116544
ETH-USDT: $4399.99 | Bid: $4399.98 | Ask: $4399.99
SOL-USDT: $187.76 | Bid: $187.75 | Ask: $187.76
BTC-USDT: $116524 | Bid: $116523.9 | Ask: $116524
